url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://www.clien.net/service/search?q=에어팟,클리앙,업무할땐 보통 하나만 껴서 하다보니 그땐 몰랐는데 오랜만에 영화좀 보려고 두개 끼고 노캔 켜니까 하나가 노캔이 안되네요 ㅜㅜㅜ... 안그래도 저번에 오른쪽 유닛 지직거려서 갔더니 교체라고해서 13이라 좀 부담시러워서 안받고 그냥 썼는데... 이건 점점 프로2c를 사라는...속셈.. 근데 프로3 나올때까지 존버하겟습니다.. 너무비싼 에어팟프로..,,2024-01-04 08:28:11,0,,3,"1,246",아이포니앙,잡담
https://www.clien.net/service/search?q=에어팟,클리앙,"
						 
					 
						 
					 에어팟 맥스 판매합니다 미개봉으로 판매하려고 했으나, 가족의 실수로 개봉하여 테스트만 하고 다시 넣어뒀습니다. 구매한지 60일 되지 않아서 필요하다면 애플케어 가입하셔서 사용 가능합니다. 보증기간은 24년 12월까집니다.",,2023-12-27 09:54:48,0,,1,921,회원중고장터,거래완료
https://www.clien.net/service/search?q=에어팟,클리앙,2020년에 구매한 에어팟2세대 무선충전모델을 사용중입니다 요즘 추위에 외부로 나가면 에어팟이 40분도 못버티길래 고장났나 했더니 실내에서 테스트해보니 2시간은 가더군요 3년가량 써왔는데 2시간도 못가는 에어팟보면 연말 세일을 내심 기다리고 있는데 핫딜은 찾아볼수가 없더군요.. 이렇게 된이상 내년 3월출시 예상인? 에어팟 4세대 존버해야겠습니다,,2023-12-23 10:55:26,0,,7,"3,017",아이포니앙,잡담
https://www.clien.net/service/search?q=에어팟,클리앙,"
						 
					 나를 위해 이어폰 하나 사자하고 몇날을 지켜봤는데 무슨 이어폰에 30만원씩이나...쓰냐 하지만서도 노캔에 통품 좋은거 써보는게 그나마 주말에 낙인데. 그냥 이리저리 비교 안하고 샀으면 좋겠어요. 제가 돈 줄테니 이중에 하나 사온나~하면 사왔으면.. qcy는 부담없이 샀는데 이런데다 쓰는 신경이 생각보다 큰 스트레스로 옵니다. 와이프는 할부하면되지 하면서 잘만 사는데요 제가 이리저리 따지면서 받을 스트레스 안받고  비싸더라도 사고 쓰다 맘에 안들면 안쓰고.. (전 이걸 굉장히 안좋게 봅니다만..한편으로는 저처럼 이런 스트레스는 안받으니 더 낫지않나 싶기도) 며칠째 보스랑 소니 jbl 사이에서 갈팡질팡 뭐하나 살때도 그람에 비해 비싸면 안사고.. 아이고 이게 무슨 의미인가 싶기도 하다가도 싸게 사야 좋은거 아냐? 라고 생각하고. 아직도 못사고 있는 제가 저도 답답하기만 하네요..",,2023-12-30 13:06:52,2,,4,"1,223",모두의공원,
https://www.clien.net/service/search?q=에어팟,클리앙,제곧내입니다만… 에어팟 프로 2세대 8핀 15만원 2023년 5월 구입 등록 상태는 좋은 편  이 시점에 과연 이 제품 구입이 마땅할까요???,,2023-12-07 16:22:18,0,,13,"1,489",아이포니앙,질문
https://www.clien.net/service/search?q=에어팟,클리앙,"문제점 : 현 갤럭시s20+bts 배터리 광탈진행중(ㅅㅈ 구매로 산거라...bts뒷커버 맘에 안듬) - 완충후 오후 3~4시면 20%이하(no wifi) - 화면도 자세히 보면 번인 -그외 나머지 만족 별4개이상 개선안 1. 액정교체는 너무 비싸니 배터리만 정품으로 교체 2. 갤23시리즈(기본 or 플러스모델) 내년 기변 3. 옛감성을 살려 다시 아이폰 사용 1.1 가장 현실적인 방안 절때 게임 안함 액정도 번인은 심하지않아 저렴한 가격으로 최소 1년이상 사용가능 2. 오늘 서비스센터에서 만져보니 플러스모델도 좋긴한데 핸드폰이라를 취지에는 기본모델이 너무 완소 느낌 (배터리 사용시간 유무가 관건, wub?이거 빠진건만 약간 아쉬움, 충전시간은 그냥 머...) 3. 갑자기 아이폰 뽐뿌가 온것에는 프로모델의 경량화가 한 몫함(현 플러스 모델과 비슷) 애플 생태계가 다시금 끌림 에어팟의 노이스 캔슬링이나 애플워치를 써보고 싶은 마음 현재도 업무시 샥즈 오픈런 프로는 항시 착용중 에어팟으로 대체 가능한지가 궁금했음 그러나 검색기능의 개적화, 통화녹음, 삼성페이의 부재, 기타 안드로이드만의 대한민국 최적화 기능들의 부재등 그래서 아이폰 16, S24시리즈 나올 때 까지만 버텨볼 생각으로 배터리만 교체하고 왔습니다.",,2023-12-11 10:56:33,0,,7,"2,115",안드로메당,자유
https://www.clien.net/service/search?q=에어팟,클리앙,,,2023-12-21 09:05:20,0,,4,984,아이포니앙,질문
https://www.clien.net/service/search?q=에어팟,클리앙,예전에 만 몇천원주고 사서 음질 쓰레기라 방치했는데 귀마개가 필요해서 오랜만에 꺼내봤는데 괜찮네요 ㅋㅋ 누가 qcy 앱 다운받아서 이퀄 저음으로 들으면 들을만하게바뀐다해서 했는데 정말 좋아졌어요 에어팟맥스썼었는데 소리가 비슷합니다 ㅋㅋㅋ,,2023-12-03 11:33:04,0,,10,"1,675",모두의공원,
https://www.clien.net/service/search?q=에어팟,클리앙,,,2023-12-05 10:23:24,0,,3,"1,718",모두의공원,
https://www.clien.net/service/search?q=에어팟,클리앙,1박출장인데 아이폰을 집에두고 워치와 에어팟만 가지고 서울로 향했습니다.   아이폰으로 설정해둔 6시반 알람이 워치로 오네요? 정말 놀랬습니다.,,2023-12-18 15:58:55,0,,0,"2,115",아이포니앙,잡담
