commnet,answer,sec
처음 이사 들어설때 공유기 없어서 내돈내산으로 설치함 일단 1번더 끊기면 kt에 전화해서 기사님 모시고 단자함이나 여러 설명 드려봐야겠네 그리고 2층이 인터넷 끊기면 3층도 끊기던데 왜그러지,Yes,0.7019779682159424
아 맞다 ㅅㅂ 그리고 계약할때 인터넷 이미 돼있다고 kt 쓰라고 했는데 안되면 이것도 말해야겠네 믿었는데 끊김 심하다고,Yes,0.10341906547546387
카톡으로 최근들어 인터넷 끊김이 자주 발생해서 kt 고객센터에 신호 다시 받거나 기사분들 몇명이 오셨는데도 해결이 안됐다 혹시 인터넷 해결방안이 있는지 물어보고 그다음 개별설치 물어보는데 안되면 ㅈㅈ긴함 감정싸움 일어나면 나중에 끝나고 이사할때 보증금이나 돈 관련으로 빡세지는거 나도 잘 알아서,Yes,0.13811087608337402
"난 3인가족다kt, kt티비, 인터넷 써서 결합하니까 알뜰폰이랑 거의 차이 없고 오히려 포인트 쓸수 있어서 더이득인거 같음",Yes,0.10739922523498535
나도 없 인터넷 문젠가 본인kt,Yes,0.09202980995178223
다음 폰 바꿀 시점엔 자급제도 알아보긴해야겠네요 근데 인터넷이랑 가족 5명이 kt가족할인으로 묶여있어서 쉽지는 않을듯요...ㅋㅋㅋ,Yes,0.10088491439819336
인터넷은 kt 임,Yes,0.09820127487182617
외워라 통신사는sk 인터넷은kt,Yes,0.09202861785888672
아 나는 kt인데 최근에 인터넷이 느려가지고ㅋㅋ sk면 뭐지,Yes,0.09561729431152344
원래 인터넷은 kt였는데 요샌 진짜 이상하네여...,Yes,0.09483957290649414
예전부터 인터넷문제잇던데 왜안바꾸지 건물이 kt밖에못쓰나??,Yes,0.10557436943054199
인터넷은 무조건 KT 라고 생각함,Yes,0.10343098640441895
"5.21. 인터넷 방송인 성훈에게 유튜브 채널 테러 및 비난5.22. 2022년 클템, 김동준 해설 페이커 패싱 선동 사건5.23. SKT 마이너 갤러리 성명문 작성 및 2차 트럭 시위 사건5.24. T1악성팬 담원 기아 간담회 참석 인증 사건5.25. DRX 우승 폄하 사건5.26. 임재현 코치 과거사 왜곡 사건5.27. KT 프로게임단 마이너 갤러리 여론 조작 논란 5.28. T1 팬덤 및 단장의 ...",Yes,0.1544198989868164
Kt개잡놈들은 이럴때도 도움이안됨.. 인터넷도 개같이 느리고,Yes,0.1034998893737793
"아니면 반대로 인터넷선을 본인방으로 연장하시고 거기 공유기두시고 거실에 증폭기 두는게 더나을거같아요. 제가 완전 시골 본가에서 독립하기전에 지낼때 정확하게 같은상황이였는데 방으로 연장은 도저히 불가능한상황이라 ( 인터넷선자체가 아예 안들어와서, 아랫마을 500미터에서 kt공사팀이 직접 선따서 저희집 연결한터라..) 거실에서 방으로 랜선 직접시공햇엇습니다.ㅋㅋ",Yes,0.15029406547546387
"나도 알뜰폰인데 집에 케이블 티비,인터넷이 KT 그래서 쌓인 포인트로 매달 저거 이용",Yes,0.10121822357177734
현질한거아깝고 피파때매 고민이라 인터넷을 고민을 하면 뒤도 안돌아보고 일단 KT는 써봐야함 체험해봐야함 그냥 30초만 검색해도 다 KT추천함 그냥 외국게임하면 KT맛 보고 이제 또 맘에 안들면 다른거고민하면됨,Yes,0.12464213371276855
무조건 kt요 인터넷 찾아보면 위약금 현금 입금 해주는데 많아요,Yes,0.11728715896606445
KT에 유일하게 단기임대 인터넷 있어요 저도 3개우ㅏㄹ 필요해서 했었어요,Yes,0.10409951210021973
"인터넷 + 티비 + 알뜰폰 하는거랑 다 하나로 묶는거 계산해보면 전자가 싼 경우가 많음 우리집도 다 kt 썼는데, 폰만 알뜰로 갈아타고 인터넷 + 티비만 결합으로 쓰는중",Yes,0.10923957824707031
알뜰폰도 결합 됨 Kt엠모바일이랑 kt인터넷 이런식으로 어차피 kt엠모바일이 kt꺼임ㅋ,Yes,0.10116338729858398
"아 그 핸드폰 인터넷말고, 말 그대로 랜선으로 쓰는 인터넷 친구가 알뜰폰 쓰면서 무슨 듣보잡 인터넷인 CMB?.. 거기서 했는데, 발로 할때마다 한번씩 팅긴다면서 으어어! 소리 지르면서 다시 KT로 왔음",Yes,0.11168122291564941
"우리집 티비, 인터넷 3명 다 KT인데 5년밖에 안됐으면 알뜰폰이 쌈?",Yes,0.09946465492248535
물론 서버 좋을때는 조금씩 차이가 나는거 같긴한데요 이게 회선도 회선인데 인터넷이 구축이냐 신축이냐에 따라 조금 다른거같아요 물론kt가 해외망이 있어서 제일 좋긴 합니다.,Yes,0.11278223991394043
kt 기가 인터넷 속도 안나오는거 공론화시킨 잇섭,Yes,0.09950852394104004
kt1기가 인터넷 그렇게 안비쌀텐데여 제가 1기가 26000원인가에 썼었는데 qos 500메가랑 같아서 결국 다시 500메가로 왓음,Yes,0.0977790355682373
원래 사재로 샀었는데 아파트에서 kt 기가인터넷 무료로 바꿔준다해서 모든단지 바뀌었는데 kt 와이파이는 설치 안해주는거 같아서 물어봄,Yes,0.10155129432678223
인터넷 하면 KT라는 생각땜에 바꿀때 고민 많이했는데 LG는 좀 손이 안가서 SKT로 바꿨고 기사와서 모뎀 교체한 뒤에 일시불로 받음,Yes,0.1363692283630371
퍼스에 견적받아봐 난 kt쓰다가 견적올렸는데 인터넷 티비 바꾸면 80만준대서 바꾸고 받음 컴터 판매사이트마냥 견적올리면 업체들이 얼마준다 이렇게 오퍼 오더라,Yes,0.10805296897888184
kt lg 두곳 모두 공기업 시절 인터넷 망 세금으로 깐거고 지들돈으로 깐게 없는데 sk는 이 두곳에서 임차해서 쓰고. 빨아먹어도 적당히 빨아먹어야지,Yes,0.10252523422241211
https://product.kt.com/wDic/productDetail.do?ItemCode=1535&amp;CateCode=6005&amp;filter_code=119&amp;option_code=&amp;pageSize=10 요기 보면 선불 인터넷이라고 3개월에 8.8 ~ 13.2 까지 있네요 약정 없이 단기로 쓰실거면 그나마 이게 제일 할만한듯 핸드폰 핫스팟 데이터는 따로라는건 처음 알았네요,Yes,0.1321704387664795
지금 티비는 skt 인터넷 kt 가족 한명이 sk요금제 3명이 lg여서 좀 머리아픔 그래서 걍 복잡하게 계산말고 알뜰갈까 생각중이라,Yes,0.09959936141967773
"핸드폰 무제한 이면 핫스팟, KT 선불단기인터넷 3,6,12 개월, 공유기 쓰는 집에 비용 조금 지불하고 탑승 정도 있겠네요",Yes,0.09709906578063965
미국이 할말이 없다고 생각하기 힘든게... 유튜브가 KT 망에 있어서 SKT 쓰면서 유튜브 보면 KT 가 SKT 한테 망사용료 즉 돈을 줘야됨... 이거 자체가 ㅈㄴ 말이 안된다고 봄... 즉 지금은 망자체를 키우는것보단 사용자만 늘리면 한국에있는 다른 통신사에서 오는 정보는 그 통신사가 자기한테 돈을 줘야됨... 그런데 한국 자체는 2티어라 1티어 망들한테 돈을 냄... ...,Yes,0.13912129402160645
ㅇㅈ LG랑 KT 기가 써봤는데 둘다 좋음 SK는 같이 일하는 옆자리 직원이 썼었는데 맨날 인터넷 문제 생김,Yes,0.09597134590148926
지역마다 인터넷이 좋은곳과 안좋은곳이 있다고 하는데 범용적으로 KT,Yes,0.09433293342590332
한국의 이통사들 마진율이 10%대를 넘었던 게 인터넷 초창기였던 2000년대 중반 해외에서 찾아본 kt 영업마진을 보니까 2011년까진 덩치가 작고 영업이익률이 지리게 좋았다가 2012년부터 공격적 M&amp;A로 덩치를 2배 3배 4배로 불린 뒤 영업이익률이 5%대로 떨어졌음 SKT와 LGU도 사정은 비슷함,Yes,0.12441062927246094
통신사가 개씹철밥통임 기업한테 저지랄하고 소비자한테 요금제로 장난치고 KT는 거기에더해서 인터넷속도도 지좆대로 조절하고 국가차원에서 IT 쳐망해라 나가뒤져라 고사지내는데 아직도 버텨지는게 신기한 나라,Yes,0.10496044158935547
"쉽게 말하면 KT,SK,LG 는 제 1기업인거고 알뜰요금제는 이 3사의 하청업체가 운영하는 통신망이라 생각하시면 되요. 인터넷에 알뜰요금제라고 치면 각종 알뜰요금제 통신사가 뜨거든요? 거기에 들어가서 상담 문의해서 가입하거나하면 유심칩을 당일발송으로 보내줍니다. 그럼 그거 끼우고 요금제 원하는거 상담해서 쓰시면 되요.",Yes,0.12109875679016113
아 kt 인터넷 사용자는 안되냐ㅋㅋㅋ,Yes,0.09522247314453125
kt공유기 - ip공유기 연결할때 인터넷선만 있음 되죠 ?,Yes,0.09459066390991211
KT 인터넷 스바 개 끊겨.,Yes,0.09120464324951172
1티어 인터넷 사업자 없지않음? kt가 그나마 2티어고ㅋㅋㅋ 타 통신사는 해저케이블 이제야 하나 완성 단계 아닌가,Yes,0.09633421897888184
ㅋㅋㅋ 파워콤을 민영화 하고 KT민영화 한건 김대중과 노무현이다 김대중이 우리나라 인터넷 산업 민영화 한거 아직도 모르냐?,Yes,0.0961756706237793
데이터도 3사중 요즘 제일 안터지고 위성팔고 잇섭한테 고의 인터넷저하 걸리고 망사용료 대장격에다가 멤버십 혜택도 제일 적고 십새끼 KT롤스터 운영비나 깎아먹고,Yes,0.10256767272949219
다른 나라도 인터넷 요금 이렇게 비쌈? KT 새끼들 너무 비싸게 쳐먹음,Yes,0.09470391273498535
인터넷은 KT임 ㅋ,Yes,0.09244155883789062
확실한건 kt에서 다른인터넷으로 바꾸면 역체감은 됨,Yes,0.09513688087463379
컴이랑 상관없이 KT 인터넷회선 주작질땜에 그리드 체감 느껴질때 있음,Yes,0.0957636833190918
kt사이트 들어가서 인터넷 리셋 한번 해보셔요 하는법은 네이버 검색,Yes,0.09529376029968262
