url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://www.clien.net/service/search?q=지니뮤직'],클리앙,"그룹 소녀시대 태연이 컴백과 동시에 국내외 차트 1위를 석권하며 여전히 강력한 '믿듣탱' 파워를 실감케 했다. 
    지난 27일 발매된 태연 다섯 번째 미니앨범 'To. X'(투 엑스)는 아이튠즈 톱 앨범 차트에서 스웨덴, 브라질, 페루, 칠레, 인도네시아, 러시아, 싱가포르, 튀르키예(터키), 이스라엘, 대만, 필리핀, 베트남, 홍콩, 말레이시아, 태국, 마카오, 캄보디아, 라트비아 등  전 세계 18개 지역 1위에 올랐다. 
    더불어 아이튠즈 월드와이드 앨범 차트 1위, 중국 최대 음악 플랫폼 QQ뮤직 디지털 앨범 판매 차트 1위, 쿠고우뮤직 디지털 앨범  판매 차트 1위 등도 차지했다. 
    또한 이번 앨범은 한터차트 등 국내 주요 음반 차트 일간 1위는 물론, 멜론 HOT100 1위를 비롯해 벅스, 지니, 바이브 등  각종 음원 차트 1위 및 전곡 줄세우기도 기록하며 음반과 음원 모두 뜨거운 호응을 얻는 중이다. 
    ................................................................................ ",,2023-11-28 11:42:27,0,,0,443,소시당,정보
url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://www.clien.net/service/search?q=지니뮤직'],클리앙," 편곡, 보컬 선정, 앨범 아트 작업 등 앨범 제작 과정 전반에 AI(인공지능) 기술을 활용한 리메이크곡이 발매됐다. 지니뮤직은 자회사 AI 스타트업인 주스, 음원 IP(지식재산권) 플랫폼인 뮤펌과 공동으로 개최한 리메이크 프로젝트 공모전에서 최우수작에 선정된 '아름다운 이별'을 발매했다고 13일 밝혔다. 이 공모전은 AI 편곡 서비스 '지니리라'를 활용해 리메이크곡을 출품하는 행사로, 전문가와 일반인이 함께 참여했다. 이준영 씨가 출품한 김건모 원곡의 '아름다운 이별'이 최우수작에 선정됐다. 원곡이 서정적인 발라드로 절절한 이별의 슬픔을 표현했다면 리메이크 버전은 펑키한 그루브가 돋보이는 시티팝 스타일로 변모했다. 보컬은 이달의 소녀 출신 가수 츄가 맡았다. 지니뮤직은 이 곡의 편곡, 보컬 선정, 앨범 아트 등 앨범 제작 과정 전반에 AI 기술을 활용했다. AI 스타트업 주스는 가창이 필요한 MR(반주) 음원을 입력하면 가장 적합한 보컬을 찾아주는 'AI 보이스 분석' 기술을 활용해 보컬을 선정했다. 음악 스타일과 보컬의 색깔을 가장 잘 살릴 수 있도록 AI 앨범 아트 기술도 적용됐다. 지니뮤직은 ""AI의 창작 영역 활용 가능성을 검토하고, 해당 사업을 선도하고자 공모전 수상작 앨범 제작 전반에 AI를 활용했다""고 설명했다.   /////////////////// ??????? 왜 보컬은 따로 쓴걸까요... 혹시 완벽하게 서로 다른 AI 끼리의 조합이면 저작권이나 이런건 또 어떻게 되는걸까요.. 흐음..",,2023-12-13 15:06:40,0,,1,"1,431",모두의공원,
url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://www.clien.net/service/search?q=지니뮤직'],클리앙,"이 기능은 정말 선물 같네요. 1년동안의 음악감상 기록을 이렇게 정성들여 결산 해주다니 놀랍습니다. 올해 청취시간 85,670분 ㅎㄷㄷㄷ 지니뮤직도 같이 듣는데 스포티피아에서만 이렇게 많이 들었다니 스포티파이의 선곡과 유저 개개인에 대한 기록기능은 정말 대단하네요. ",,2023-12-03 20:33:42,0,,3,"1,857",모두의공원,
url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://www.clien.net/service/search?q=지니뮤직'],클리앙,"
						 
					 
						 
					 
						 
					 
						 
					 
						 
					 OTA 오래 걸리네요. 밤에 간단히 테스트하고 2열 모니터를 고민하는 분들을 위해 간단히 정리해 올립니다. 1. 센터 모니터에서는 P단에서만 작동하지만, 2열 모니터는 주행 중에도 가능(당연!) 2. 뮤직앱(지니, 멜론)처럼 현대 자체 앱이 아니라, 그냥 유튜브 사이트만 접속되는 웹브라우저임. 3. 그냥 웹버전이라서 구글 페이지로 로그인하고, 해상도/자막 등 변경 등도 동일하게 가능.    - 12.3인치에서 와이드 풀화면 지원   - 우측 하단 전체화면 버튼을 눌러줘야 풀스크린이 됨. (불편) 4. 이런 이유로 통합 컨트롤러로 컨트롤 불가 (Back 버튼만 가능)      - 다른 OTT(왓챠/웨이브)와 마찬가지로 시네마 모드는 3개의 모니터 화면 중 하나에서만 볼 수 있음!!!  6. 2열 시청 시, 1열이나 2열 옆자리에서 컨트롤해 줄 수 없다. 7. 10인치 2열 모니터는 비율이 좋아서 크고 볼만 함. 8. 제네시스 ccIC 기준으로 조작이나 로딩 속도 빠름. 9. 현대는 wifi 테더링이나 별도 유심을 지원하지 않아, 유료 스트리밍 플러스(7700원) 가입이 필수 10. 3백만원 짜리 2열 모니터의 쓰임이 조금 늘었음...",,2023-12-15 00:05:18,2,,8,"3,420",굴러간당,후기
url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
['https://www.clien.net/service/search?q=지니뮤직'],클리앙,"안녕하세요 프레기온입니다 S클래스에서 더뉴그랜저로 기변한지 벌써 3주가 되었네요 역체감은 좀 오는 편이긴 하지만 그래도 HG시절의 그랜저보다 훨씬 완성도가 높기에 만족하면서 잘 타고 있습니다 그리고 최근에 알게된 인상 깊은 기능 하나 소개해드리자면 (이미 알고 계신 분들이 많이 계실 수도 있지만..) 지니 뮤직 or 멜론인데...이 기능은 이전에 K9 탈 때도 있었지만 유튜브 뮤직 블루투스로 연동해서 들으면 되는데 굳이 필요한가? 싶어서 안 썼던 기능인데 이번에 호기심이 생겨서 한번 결제를 해보고 써봤는데요 핸들 리모컨에 음성 인식 버튼 기능을 누르고 xxx의 xxxx 틀어줘 라고 하면 그 노래를 찾아서 틀어줍니다, 심지어 게임 OST도 됩니다 제가 했던 게임의 아이온ost 루나디움 전투 틀어줘 라고 해도 나옵니다 한국에서는 잘 안 알려진 해외 가수 아이작 다니엘슨의 파워 틀어줘 해도 나오고  아무튼 운전중에 노래 바꾸려면 폰 들어서 바꾸고 하는게 불편했는데 음성 인식으로 노래 선곡 할 수 있으니 편합니다  그리고 캘리그래피 외장 색상 글로잉 실버는 참 잘 샀다 생각이 듭니다 관리하기도 좋고 차별화 되는 색이라 만족도가 높아요  그리고 엔진룸 세척한 사진도 한번 올려봅니다 ㅎㅎ",,2023-12-08 15:42:38,6,,32,"4,953",굴러간당,이야기
