url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,뭔 축종류도 다양하고... 8개가 넘어서.. 뭘 사야할지..Qoo10 발로 보면 아직 재고도 있는데 이건 인기가 없는거일까요?다 품절이라고 하는데 구입할수 있는게 있어서 저건 뭘까 궁금합니다.암튼 레이니75 저도 대세에 탑승하고싶구요..cmk75  아이스민트 v2 축이나 or 다얼유 저소음 베이지축 정도의 키감을 가진건 어떤 종류일까요?가격은 98천원???? 71달러 환율 계산하면 얼추 비슷하게 나오는데..뭐 이정도야.. 그냥 질러도 무방할거 같아요. ㄷㄷ,,2024.01.03 10:46,,,1,532,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,여러분들은 무슨 색이 제일 이뻐보이시나요?,,2024.01.05 02:38,,,2,574,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,1월5일 (내일) 오전 10시은색 하옵 100개/ 중옵 100개블랙 140개화이트는 매일 오전10시에 50개씩 입고 판매딥블루 150개 마지막 판매후 단종------------------------,,2024.01.04 19:11,,,3,697,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,주문한 키캡이 오늘 사무실로 왔네요.기본 키캡보다 10000% 예쁩니다 ㅋㅋ역시 키보드 덕질의 끝은 키캡 놀이죠 ㅋㅋㅋ,,2024.01.03 16:32,,,2,981,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,사무실 키보드 조합을 완료했습니다 ㅎㅎ레이니75 치화 상옵(스위치 HMX 히야신스 V2U / 키캡 JKDK 목수) + CIDOO V21 넘버패드(며칠동안 순정으로 써보고 스위치 및 키캡 레이니 75에 맞춰 변경예정) 입니다.이쁘네요 ㅋㅋ 네오80 오기 전까지는 이러고 쓸거 같습니다~V21이 레이니75 치화랑 같은 색이길 바랬는데 다르군요 ㅋㅋ 네오 80을 화이트 + 골든으로 맞춰서 더 조합이 맞을수도...... ,,2024.01.05 16:28,,,6,624,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,"레이니75의중옵 / 상옵 구분은 어케 확인하나요? 판매 페이지엔 안써있는거 같아서 뭔지 모르겠습니다. ㅠㅠ그리고  양극산화/ 전기영동? 이게 뭔가요?180메쉬?? 샌드블라스트 산화?220메쉬?? 샌드블라스트 산화?
150메쉬 샌드블라스트 전기영동???못알아 먹겠습니다. ㅠㅠ고수님들의 답변을 기다립니다. 
",,2024.01.05 10:35,,,6,656,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,레이니 75가 참 핫하네요. 유명 유튜브(잇섭님) 방송 이후 큐텐에 핑크 제외하고 죄다 품절이네요....최초 블루 상옵을 사서 타건해보고 너무 괜찮아서 틈틈히 추가구매하여 현재 총 3대 구입한 입장에서 어떤 조합이 괜찮을지 주관적으로 말씀드려 보겠습니다.1.색상개인적인 취향 문제겠지만 블루랑 치화 블랙을 구매했고 받아보지 못한 블랙은 제외하고 둘다 예쁘긴 한데 아무래도 치화가 확실히 더 예쁜거 같습니다.치화 키캡을 jkdk 목수로 교체해서 그럴수도 있습니다. 기본 키캡 상태에서는 블루가 더 나았던거 같기도 합니다;;2.옵션기본 상옵도 충분히 좋으나 치화는 키캡 교체하는 김에 스위치도 hmx 히야신스 v2u로 교체하였는데 확실히hmx 스위치가 더 잘 어울립니다.더 맛깔나다고 해야할까요.일반적으로 중옵을 많이 추천하시던데 저는 상옵을 사서 스위치 교체하시는걸 추천드립니다.(바이올렛 축 spm에서 개당 300원 / 히야신스 v2u 지온웍스에서 개당 350원)pp 보강판 + 바이올렛축 궁금해서 하옵 블랙도 주문하긴 했으나 fr4 보강판이 확실히 키캡 뽑고 스위치 교체할때 잘 뽑혀서 괜찮은거 같습니다. 스위치 파손 전혀 없이 잘 뽑았네요.폼떡에는 pp 보강판이 더 어울린다고는 하던데 감안하더라도 sus 무게추와 배터리 7000mA 생각하면 상옵이 더 낫다고 봅니다.넘버패드 V21을 구입해서 레이니 75 치화랑 맞춤으로 스위치 및 키캡 교환했는데 PC 보강판이더군요. 스위치 뽑다가 몇개 해먹었습니다ㅋㅋ 플라스틱 보강판에 걸려서 난리도 아니더군요;;결론 : 1)레이니75 상옵으로 구매해서 스위치 교체해서 쓰는게 젤 좋다(주관적임)2)스위치 교체하기 돈 아깝고 귀찮으면 그냥 중옵 사도 좋다(HMX 스위치랑 찰떡임)    ,,2024.01.08 11:09,,,6,313,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,레이니에 너무 잘 어울리네요~ 노벨키 할인으로 찐 믹틀란도 곧 올텐데 그건 그냥 소장해야겠어요 ㅎ ,,2024.01.04 13:22,,,4,334,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,4년정도 된 커세어k70 rgb 적축 사용중입니다.레이니75랑 비교해서 뭐가좋나요?,,2024.01.05 21:30,,,5,451,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,하늘색을 딱 잡아봤을때 이거 뭔가.. 도색이 잘 까질거 같다 라는 느낌이 들긴했는데.유튜버분이 리뷰 올린거 보는데 usb로 슦 긁어도 까지는군요.조심히 써야겠네요 이거..아님 또하나 사면되지.==,,2024.01.06 12:16,,,4,309,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,"다들 치화 살때 저는 실버 샀습니다.치화 이쁜데 키캡 놀이가 필수인게 맘에 안들어서요.ㅎㅎ솔찍히 실버보단 블루를 사고싶었는데..블루 , 바이올렛 축으로 왜 없쥬?ㅠㅠ암튼....성공했습니다.! 이제 기다리면 오겠네요. ㅎ",,2024.01.05 10:07,,,3,798,키보드/마우스 게시판 ,
https://quasarzone.com/groupSearches?keyword=레이니,퀘이사존,새벽 2시 쪼금 앞둔 시간인데...  지금 구입가능합니다...사실분들은 지금 고고 큐텐 입니다. ,,2024.01.06 01:43,,,9,700,키보드/마우스 게시판 ,
