commnet
"('외워라 통신사는sk 인터넷은kt', 0.2393052577972412, 'No')"
"('아니면 반대로 인터넷선을 본인방으로 연장하시고 거기 공유기두시고 거실에 증폭기 두는게 더나을거같아요. 제가 완전 시골 본가에서 독립하기전에 지낼때 정확하게 같은상황이였는데 방으로 연장은 도저히 불가능한상황이라 ( 인터넷선자체가 아예 안들어와서, 아랫마을 500미터에서 kt공사팀이 직접 선따서 저희집 연결한터라..) 거실에서 방으로 랜선 직접시공햇엇습니다.ㅋㅋ', 0.31856560707092285, 'No')"
"('지금 티비는 skt 인터넷 kt 가족 한명이 sk요금제 3명이 lg여서 좀 머리아픔 그래서 걍 복잡하게 계산말고 알뜰갈까 생각중이라', 0.2814512252807617, 'No')"
"('핸드폰 무제한 이면 핫스팟, KT 선불단기인터넷 3,6,12 개월, 공유기 쓰는 집에 비용 조금 지불하고 탑승 정도 있겠네요', 0.28168535232543945, 'No')"
"('미국이 할말이 없다고 생각하기 힘든게... 유튜브가 KT 망에 있어서 SKT 쓰면서 유튜브 보면 KT 가 SKT 한테 망사용료 즉 돈을 줘야됨... 이거 자체가 ㅈㄴ 말이 안된다고 봄... 즉 지금은 망자체를 키우는것보단 사용자만 늘리면 한국에있는 다른 통신사에서 오는 정보는 그 통신사가 자기한테 돈을 줘야됨... 그런데 한국 자체는 2티어라 1티어 망들한테 돈을 냄... ...', 0.3198380470275879, 'No')"
"('통신사는 sk 인터넷은 kt', 0.24422645568847656, 'No')"
"('인터넷은 kt 스마트폰은 skt 가전제품은 lg얘기가', 0.23428797721862793, 'No')"
"('보통 큰건물에는 mdf실이라고 회선관리하는 곳이 있는데 이곳을 거쳐서 각 건물 인터넷이 연결됨. kt도 그렇고 LG도 같은 증상이면 건물 내부 회선 또는 MDF실 내에 기기 문제인듯함. 저거는 정말 전문업체에서 점검해야 답이 나옴. 인터넷기사는 절대 못잡음.', 0.30502891540527344, 'No')"
"('애초에 송배전민영화는 문재인 때 RE100 대비한답시고 시행한거. RE100 협약에 따라서 앞으로 기업들은 재생에너지 비율을 높여야함. 근데 지금은 모든 전기를 한전을 통해야만 공급받을 수 있음. 한전이 재생에너지비율을 높이지 않는한 대기업들이 RE100 기준을 충족시킬 수 없는거. 그래서 재생에너지 공급을 민간에서 할 수 있도록 확대한거고. 기업들이 비싸더라도 민간...', 0.31743407249450684, 'No')"
"('유선인터넷 자체가 KT 아니면 간헐적으로 끊기고 불안함 ㅋㅋㅋㅋ 게다가 SKT는 해외망을 100% 임대해서 쓰지. 그나마 선녀라는 KT도 썩 좋다고 하긴 힘들고 대안이 없는 느낌이고', 0.29340457916259766, 'No')"
"('kt는 기업문화만 따져도 파파괴문화임 인터넷 이슈당시 처리하는 기사들에게 떠넘기기 바빳음 진짜 kt는 꿀빠는 소위 윗대가리 제외하면 밑에 있는 사람들 피빠는 구조아님?해도 아가리해야됨 ㅋㅋ', 0.30490827560424805, 'No')"
